index,common_name,file,license,recordist,XC-number,stable_url,file-name
92,long-tailed duck,https://xeno-canto.org/171906/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Björn Karlsson,171906,//xeno-canto.org/171906,XC171906-Alfagel 14-03-29.mp3
93,long-tailed duck,https://xeno-canto.org/168629/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Paul Driver,168629,//xeno-canto.org/168629,XC168629-LONG-TAILED DUCK Avalon NJ 900am 03022014.mp3
97,long-tailed duck,https://xeno-canto.org/124686/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Louis A. Hansen,124686,//xeno-canto.org/124686,XC124686-2011-03-06_longt-duck_diplay.mp3
98,long-tailed duck,https://xeno-canto.org/121426/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Stein Ø. Nilsen,121426,//xeno-canto.org/121426,XC121426-130212-000havelle.mp3
99,long-tailed duck,https://xeno-canto.org/113506/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Ian Cruickshank,113506,//xeno-canto.org/113506,XC113506-IAC279.mp3
100,long-tailed duck,https://xeno-canto.org/113505/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Ian Cruickshank,113505,//xeno-canto.org/113505,XC113505-IAC282.mp3
101,long-tailed duck,https://xeno-canto.org/113503/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Ian Cruickshank,113503,//xeno-canto.org/113503,XC113503-IAC283.mp3
106,long-tailed duck,https://xeno-canto.org/638860/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Johan Lorentzon,638860,//xeno-canto.org/638860,XC638860-alfåg210413_2334.mp3
107,long-tailed duck,https://xeno-canto.org/629813/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Petter Nordvander,629813,//xeno-canto.org/629813,XC629813-Alfågel.mp3
110,long-tailed duck,https://xeno-canto.org/599443/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Alexander Hellquist,599443,//xeno-canto.org/599443,XC599443-alfågelflock till xeno.mp3
111,long-tailed duck,https://xeno-canto.org/589940/download,//creativecommons.org/licenses/by-nc-sa/4.0/,"Seth Beaudreault, Toolik Field Station",589940,//xeno-canto.org/589940,XC589940-2020 05 28 02 LONG-TAILED DUCK.mp3
112,long-tailed duck,https://xeno-canto.org/580570/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Uku Paal,580570,//xeno-canto.org/580570,XC580570-CLAHYE VEERE 19.1.2016 149.mp3
113,long-tailed duck,https://xeno-canto.org/350322/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Uku Paal,350322,//xeno-canto.org/350322,XC350322-clahye veere 14.1.17.mp3
114,long-tailed duck,https://xeno-canto.org/344445/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Albert Lastukhin,344445,//xeno-canto.org/344445,"XC344445-Clangula hyemalis 160411_002, Пелис,C.MP3"
115,long-tailed duck,https://xeno-canto.org/234603/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Kelley Nunn,234603,//xeno-canto.org/234603,XC234603-LTDU910pm6April2015_Edited.mp3
118,long-tailed duck,https://xeno-canto.org/564385/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Lars Edenius,564385,//xeno-canto.org/564385,XC564385-Alfågel_01.mp3
119,long-tailed duck,https://xeno-canto.org/554768/download,//creativecommons.org/licenses/by-nc-sa/4.0/,timo nuoranen,554768,//xeno-canto.org/554768,XC554768-05052020_sp.mp3
120,long-tailed duck,https://xeno-canto.org/476542/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Juha Saari,476542,//xeno-canto.org/476542,XC476542-clahye_201905_19_20_0018.mp3
121,long-tailed duck,https://xeno-canto.org/476155/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Juha Saari,476155,//xeno-canto.org/476155,XC476155-clahye_201905_18_19_yom_0119.mp3
122,long-tailed duck,https://xeno-canto.org/439729/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Olli Juhnke,439729,//xeno-canto.org/439729,XC439729-Eisente Dahme 180327.mp3
123,long-tailed duck,https://xeno-canto.org/291523/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Guido O. Keijl,291523,//xeno-canto.org/291523,XC291523-080715_Clangula_hyemalis01_Ammarnas_GOKeijl.MP3
124,long-tailed duck,https://xeno-canto.org/208355/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Iain,208355,//xeno-canto.org/208355,XC208355-LTDU-TorotoHarbour-Dec20-2014.mp3
