index,common_name,file,license,recordist,XC-number,stable_url,file-name
81,golden-winged warbler,https://xeno-canto.org/52467/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Mike Nelson,52467,//xeno-canto.org/52467,GoldenwingedWarbler2.mp3
82,golden-winged warbler,https://xeno-canto.org/52466/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Mike Nelson,52466,//xeno-canto.org/52466,GoldenwingedWarbler1.mp3
84,golden-winged warbler,https://xeno-canto.org/31311/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Allen T. Chartier,31311,//xeno-canto.org/31311,Vermivora_chrysoptera_20080615_MI-PHSGA_S5_ATC.mp3
85,golden-winged warbler,https://xeno-canto.org/31309/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Allen T. Chartier,31309,//xeno-canto.org/31309,Vermivora_chrysoptera_20080615_MI-PHSGA_S2_ATC.mp3
86,golden-winged warbler,https://xeno-canto.org/31122/download,//creativecommons.org/licenses/by-nc-sa/3.0/,Allen T. Chartier,31122,//xeno-canto.org/31122,Vermivora_chrysoptera_20080516_MI-PHSGA_S2_ATC.mp3
87,golden-winged warbler,https://xeno-canto.org/481823/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Cassie Ziegler,481823,//xeno-canto.org/481823,XC481823-ONG04_2016_XC.mp3
88,golden-winged warbler,https://xeno-canto.org/481822/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Kate Maley,481822,//xeno-canto.org/481822,XC481822-ONG04_2015_XC.mp3
89,golden-winged warbler,https://xeno-canto.org/481811/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Gunnar Kramer,481811,//xeno-canto.org/481811,XC481811-OMG07.mp3
90,golden-winged warbler,https://xeno-canto.org/432490/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Oscar Johnson,432490,//xeno-canto.org/432490,XC432490-Vermivora_chrysoptera_LSU_Lakes_OJohnson_25Apr2018.mp3
91,golden-winged warbler,https://xeno-canto.org/328172/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Brian Henderson,328172,//xeno-canto.org/328172,XC328172-MVI_2768_BrewstersWarbler_201606081445_mod.mp3
92,golden-winged warbler,https://xeno-canto.org/237754/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Dan Lane,237754,//xeno-canto.org/237754,XC237754-Vermivora chrysoptera150420_T1672.mp3
93,golden-winged warbler,https://xeno-canto.org/182015/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Paul J. Hurtado,182015,//xeno-canto.org/182015,XC182015-002-2014-06-07 14_06_01_LamarCC_HP2K.mp3
94,golden-winged warbler,https://xeno-canto.org/176384/download,//creativecommons.org/licenses/by-nc-sa/4.0/,Mike Nelson,176384,//xeno-canto.org/176384,XC176384-Golden-winged Warbler1YB2008.mp3
