plate_no,common_name,file_name,img_file,in_dataset,inaturalist_folder,audubon_image,mosaic,mosaic_img,display_img
plate-89,nashville-warbler,plate-89-nashville-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-89-nashville-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/nashville-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/nashville-warbler/plate-89-nashville-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/nashville-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-41,ruffed-grouse,plate-41-ruffed-grouse.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-41-ruffed-grouse.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/ruffed-grouse,/Users/estene/Documents/GitHub/audubon/inaturalist/ruffed-grouse/plate-41-ruffed-grouse.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/ruffed-grouse.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-83,house-wren,plate-83-house-wren.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-83-house-wren.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/house-wren,/Users/estene/Documents/GitHub/audubon/inaturalist/house-wren/plate-83-house-wren.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/house-wren.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-12,baltimore-oriole,plate-12-baltimore-oriole.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-12-baltimore-oriole.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/baltimore-oriole,/Users/estene/Documents/GitHub/audubon/inaturalist/baltimore-oriole/plate-12-baltimore-oriole.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/baltimore-oriole.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-51,red-tailed-hawk,plate-51-red-tailed-hawk.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-51-red-tailed-hawk.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/red-tailed-hawk,/Users/estene/Documents/GitHub/audubon/inaturalist/red-tailed-hawk/plate-51-red-tailed-hawk.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/red-tailed-hawk.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-3,prothonotary-warbler,plate-3-prothonotary-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-3-prothonotary-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/prothonotary-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/prothonotary-warbler/plate-3-prothonotary-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/prothonotary-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-69,bay-breasted-warbler,plate-69-bay-breasted-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-69-bay-breasted-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/bay-breasted-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/bay-breasted-warbler/plate-69-bay-breasted-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/bay-breasted-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-22,purple-martin,plate-22-purple-martin.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-22-purple-martin.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/purple-martin,/Users/estene/Documents/GitHub/audubon/inaturalist/purple-martin/plate-22-purple-martin.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/purple-martin.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-4,purple-finch,plate-4-purple-finch.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-4-purple-finch.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/purple-finch,/Users/estene/Documents/GitHub/audubon/inaturalist/purple-finch/plate-4-purple-finch.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/purple-finch.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-91,broad-winged-hawk,plate-91-broad-winged-hawk.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-91-broad-winged-hawk.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/broad-winged-hawk,/Users/estene/Documents/GitHub/audubon/inaturalist/broad-winged-hawk/plate-91-broad-winged-hawk.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/broad-winged-hawk.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-42,orchard-oriole,plate-42-orchard-oriole.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-42-orchard-oriole.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/orchard-oriole,/Users/estene/Documents/GitHub/audubon/inaturalist/orchard-oriole/plate-42-orchard-oriole.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/orchard-oriole.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-32,black-billed-cuckoo,plate-32-black-billed-cuckoo.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-32-black-billed-cuckoo.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/black-billed-cuckoo,/Users/estene/Documents/GitHub/audubon/inaturalist/black-billed-cuckoo/plate-32-black-billed-cuckoo.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/black-billed-cuckoo.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-73,wood-thrush,plate-73-wood-thrush.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/1-99/plate-73-wood-thrush.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/wood-thrush,/Users/estene/Documents/GitHub/audubon/inaturalist/wood-thrush/plate-73-wood-thrush.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/wood-thrush.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-110,hooded-warbler,plate-110-hooded-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-110-hooded-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/hooded-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/hooded-warbler/plate-110-hooded-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/hooded-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-163,palm-warbler,plate-163-palm-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-163-palm-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/palm-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/palm-warbler/plate-163-palm-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/palm-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-102,blue-jay,plate-102-blue-jay.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-102-blue-jay.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/blue-jay,/Users/estene/Documents/GitHub/audubon/inaturalist/blue-jay/plate-102-blue-jay.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/blue-jay.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-146,fish-crow,plate-146-fish-crow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-146-fish-crow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/fish-crow,/Users/estene/Documents/GitHub/audubon/inaturalist/fish-crow/plate-146-fish-crow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/fish-crow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-156,american-crow,plate-156-american-crow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-156-american-crow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/american-crow,/Users/estene/Documents/GitHub/audubon/inaturalist/american-crow/plate-156-american-crow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/american-crow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-137,yellow-breasted-chat,plate-137-yellow-breasted-chat.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-137-yellow-breasted-chat.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-breasted-chat,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-breasted-chat/plate-137-yellow-breasted-chat.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/yellow-breasted-chat.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-111,pileated-woodpecker,plate-111-pileated-woodpecker.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-111-pileated-woodpecker.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/pileated-woodpecker,/Users/estene/Documents/GitHub/audubon/inaturalist/pileated-woodpecker/plate-111-pileated-woodpecker.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/pileated-woodpecker.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-119,yellow-throated-vireo,plate-119-yellow-throated-vireo.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-119-yellow-throated-vireo.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-throated-vireo,/Users/estene/Documents/GitHub/audubon/inaturalist/yellow-throated-vireo/plate-119-yellow-throated-vireo.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/yellow-throated-vireo.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-135,blackburnian-warbler,plate-135-blackburnian-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-135-blackburnian-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/blackburnian-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/blackburnian-warbler/plate-135-blackburnian-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/blackburnian-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-105,red-breasted-nuthatch,plate-105-red-breasted-nuthatch.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-105-red-breasted-nuthatch.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/red-breasted-nuthatch,/Users/estene/Documents/GitHub/audubon/inaturalist/red-breasted-nuthatch/plate-105-red-breasted-nuthatch.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/red-breasted-nuthatch.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-129,great-crested-flycatcher,plate-129-great-crested-flycatcher.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-129-great-crested-flycatcher.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/great-crested-flycatcher,/Users/estene/Documents/GitHub/audubon/inaturalist/great-crested-flycatcher/plate-129-great-crested-flycatcher.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/great-crested-flycatcher.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-122,blue-grosbeak,plate-122-blue-grosbeak.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-122-blue-grosbeak.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/blue-grosbeak,/Users/estene/Documents/GitHub/audubon/inaturalist/blue-grosbeak/plate-122-blue-grosbeak.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/blue-grosbeak.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-127,rose-breasted-grosbeak,plate-127-rose-breasted-grosbeak.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-127-rose-breasted-grosbeak.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/rose-breasted-grosbeak,/Users/estene/Documents/GitHub/audubon/inaturalist/rose-breasted-grosbeak/plate-127-rose-breasted-grosbeak.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/rose-breasted-grosbeak.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-131,american-robin,plate-131-american-robin.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-131-american-robin.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/american-robin,/Users/estene/Documents/GitHub/audubon/inaturalist/american-robin/plate-131-american-robin.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/american-robin.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-154,tennessee-warbler,plate-154-tennessee-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-154-tennessee-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/tennessee-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/tennessee-warbler/plate-154-tennessee-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/tennessee-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-139,field-sparrow,plate-139-field-sparrow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-139-field-sparrow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/field-sparrow,/Users/estene/Documents/GitHub/audubon/inaturalist/field-sparrow/plate-139-field-sparrow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/field-sparrow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-104,chipping-sparrow,plate-104-chipping-sparrow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-104-chipping-sparrow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/chipping-sparrow,/Users/estene/Documents/GitHub/audubon/inaturalist/chipping-sparrow/plate-104-chipping-sparrow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/chipping-sparrow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-112,downy-woodpecker,plate-112-downy-woodpecker.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-112-downy-woodpecker.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/downy-woodpecker,/Users/estene/Documents/GitHub/audubon/inaturalist/downy-woodpecker/plate-112-downy-woodpecker.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/downy-woodpecker.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-173,barn-swallow,plate-173-barn-swallow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-173-barn-swallow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/barn-swallow,/Users/estene/Documents/GitHub/audubon/inaturalist/barn-swallow/plate-173-barn-swallow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/barn-swallow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-174,olive-sided-flycatcher,plate-174-olive-sided-flycatcher.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-174-olive-sided-flycatcher.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/olive-sided-flycatcher,/Users/estene/Documents/GitHub/audubon/inaturalist/olive-sided-flycatcher/plate-174-olive-sided-flycatcher.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/olive-sided-flycatcher.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-100,marsh-wren,plate-100-marsh-wren.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-100-marsh-wren.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/marsh-wren,/Users/estene/Documents/GitHub/audubon/inaturalist/marsh-wren/plate-100-marsh-wren.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/marsh-wren.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-114,white-crowned-sparrow,plate-114-white-crowned-sparrow.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-114-white-crowned-sparrow.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/white-crowned-sparrow,/Users/estene/Documents/GitHub/audubon/inaturalist/white-crowned-sparrow/plate-114-white-crowned-sparrow.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/white-crowned-sparrow.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-103,canada-warbler,plate-103-canada-warbler.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-103-canada-warbler.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/canada-warbler,/Users/estene/Documents/GitHub/audubon/inaturalist/canada-warbler/plate-103-canada-warbler.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/canada-warbler.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
plate-121,snowy-owl,plate-121-snowy-owl.jpg,/Users/estene/Documents/GitHub/audubon/audubon_images/plates/100-199/plate-121-snowy-owl.jpg,Yes,/Users/estene/Documents/GitHub/audubon/inaturalist/snowy-owl,/Users/estene/Documents/GitHub/audubon/inaturalist/snowy-owl/plate-121-snowy-owl.jpg,,/Users/estene/Documents/GitHub/audubon/mosaics/snowy-owl.jpeg,/Users/estene/Documents/GitHub/audubon/displays/brown-creeper.jpeg
