id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
56369276,2020/08/13 4:39 PM EDT,2020-08-13,2020-08-13 20:39:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-13 23:47:45 UTC,2020-08-14 01:20:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56369276,https://inaturalist-open-data.s3.amazonaws.com/photos/89826600/medium.jpeg,,"",,1,0,false,,"Penn Park, Philadelphia, PA, US",39.9506118515,-75.1868815471,69,,,,69,,open,false,,,Mourning Dove,Zenaida macroura,Mourning Dove,Aves,3454
56413736,Fri Aug 14 2020 08:46:14 GMT-0400 (EDT),2020-08-14,2020-08-14 12:46:14 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-14 13:52:03 UTC,2020-08-14 15:06:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56413736,https://inaturalist-open-data.s3.amazonaws.com/photos/89901978/medium.jpg,,"","A female here, with a male; see next post. Or is this one a non-breeding male? Or even a breeding male but not as yellow as the other one?",1,0,false,3,"Penn Park, Philadelphia, PA, US",39.94961167,-75.185495,6,,,,6,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
56413853,Fri Aug 14 2020 08:44:18 GMT-0400 (EDT),2020-08-14,2020-08-14 12:44:18 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-14 13:53:40 UTC,2020-08-17 02:56:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56413853,https://inaturalist-open-data.s3.amazonaws.com/photos/89902202/medium.jpg,,"","A breeding male here, with a second goldfinch, see last post",2,0,false,3,"Penn Park, Philadelphia, PA, US",39.94962167,-75.18548667,6,,,,6,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
56448456,2020/08/14 3:33 PM EDT,2020-08-14,2020-08-14 19:33:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-14 20:17:12 UTC,2020-08-14 23:50:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56448456,https://inaturalist-open-data.s3.amazonaws.com/photos/89959067/medium.jpg,,"",,1,0,false,,"Penn Park, Philadelphia, PA, US",39.949788403,-75.1855996732,162,,,,162,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
56448457,2020/08/14 3:59 PM EDT,2020-08-14,2020-08-14 19:59:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-14 20:17:12 UTC,2020-08-14 23:49:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56448457,https://inaturalist-open-data.s3.amazonaws.com/photos/89956566/medium.jpeg,,"",,1,0,false,,"Penn Park, Philadelphia, PA, US",39.9478074576,-75.1893642967,46,,,,46,,open,false,,,Northern Mockingbird,Mimus polyglottos,Northern Mockingbird,Aves,14886
56670207,Sun Aug 16 2020 15:39:38 GMT-0400 (EDT),2020-08-16,2020-08-16 19:39:38 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-08-16 20:19:22 UTC,2020-08-16 20:19:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/56670207,https://inaturalist-open-data.s3.amazonaws.com/photos/90324070/medium.jpg,,"",,1,0,false,3,"Penn Park, Philadelphia, PA, US",39.94797167,-75.18926167,8,,,,8,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
58838665,Mon Sep 07 2020 09:38:57 GMT-0400 (EDT),2020-09-07,2020-09-07 13:38:57 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-09-07 14:50:07 UTC,2020-09-07 16:55:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58838665,https://inaturalist-open-data.s3.amazonaws.com/photos/93966034/medium.jpg,,"",,1,0,false,3,"Schuylkill River, Philadelphia, PA, US",39.95152,-75.18235,32,,,,32,,open,false,,,Double-crested Cormorant,Phalacrocorax auritus,Double-crested Cormorant,Aves,4265
58881613,2020/09/07 2:16 PM EDT,2020-09-07,2020-09-07 18:16:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-09-07 20:48:19 UTC,2020-09-07 21:54:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58881613,https://inaturalist-open-data.s3.amazonaws.com/photos/94030333/medium.jpeg,,"",,1,0,false,,"Penn Park, Philadelphia, PA, US",39.9499105814,-75.1858525114,150,,,,150,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
58882734,2020/09/07 2:13 PM EDT,2020-09-07,2020-09-07 18:13:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-09-07 20:56:20 UTC,2020-09-08 08:53:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58882734,https://inaturalist-open-data.s3.amazonaws.com/photos/94037094/medium.jpeg,,"",,1,0,false,,"Penn Park, Philadelphia, PA, US",39.9499472085,-75.1858360941,141,,,,141,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
58933485,2020/09/07 2:11 PM EDT,2020-09-07,2020-09-07 18:11:00 UTC,Eastern Time (US & Canada),142840,dwiebe,2020-09-08 09:01:07 UTC,2020-09-14 01:08:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58933485,https://inaturalist-open-data.s3.amazonaws.com/photos/94123563/medium.jpeg,,"",,1,0,false,,"Penn Park south field, Philadelphia, PA, USA",39.9500493628,-75.1859219223,34,,,,34,,open,false,,,American Goldfinch,Spinus tristis,American Goldfinch,Aves,145310
