plate_no,bird_name,audubon_img,in_dataset,inaturalist_folder,mosaic_img,common_name,count,scientific_name,place_guess,observed_on
plate-281,great-white-heron,plates/200-299/plate-281-great-white-heron.jpg,Yes,inaturalist/great-white-heron,mosaics/great-white-heron.jpeg,Great White Heron,6,Ardea herodias occidentalis,"Manayunk Canal Towpath, Philadelphia, PA, US",2021-07-25
plate-239,american-coot,plates/200-299/plate-239-american-coot.jpg,Yes,inaturalist/american-coot,mosaics/american-coot.jpeg,American Coot,61,Fulica americana,"Eastwick, Philadelphia, PA, USA",2022-01-02
plate-310,spotted-sandpiper,plates/300-399/plate-310-spotted-sandpiper.jpg,Yes,inaturalist/spotted-sandpiper,mosaics/spotted-sandpiper.jpeg,Spotted Sandpiper,15,Actitis macularius,"Philadelphia County, US-PA, US",2021-08-18
plate-314,black-headed-gull,plates/300-399/plate-314-black-headed-gull.jpg,Yes,inaturalist/black-headed-gull,mosaics/black-headed-gull.jpeg,Black-headed Gull,7,Chroicocephalus ridibundus,"Eastwick, Philadelphia, PA, USA",2016-12-28
plate-387,glossy-ibis,plates/300-399/plate-387-glossy-ibis.jpg,Yes,inaturalist/glossy-ibis,mosaics/glossy-ibis.jpeg,Glossy Ibis,6,Plegadis falcinellus,"Southwest Philadelphia, Philadelphia, PA, USA",2021-05-04
plate-312,long-tailed-duck,plates/300-399/plate-312-long-tailed-duck.jpg,Yes,inaturalist/long-tailed-duck,mosaics/long-tailed-duck.jpeg,Long-tailed Duck,4,Clangula hyemalis,"3401 Reservoir Dr, Philadelphia, PA 19121, USA",2018-11-07
plate-333,green-heron,plates/300-399/plate-333-green-heron.jpg,Yes,inaturalist/green-heron,mosaics/green-heron.jpeg,Green Heron,58,Butorides virescens,"Eastwick, Philadelphia, PA, USA",2016-05-28
plate-305,purple-gallinule,plates/300-399/plate-305-purple-gallinule.jpg,Yes,inaturalist/purple-gallinule,mosaics/purple-gallinule.jpeg,Purple Gallinule,1,Porphyrio martinica,"Southwest Philadelphia, Philadelphia, PA, USA",2019-09-16
plate-313,blue-winged-teal,plates/300-399/plate-313-blue-winged-teal.jpg,Yes,inaturalist/blue-winged-teal,mosaics/blue-winged-teal.jpeg,Blue-winged Teal,16,Spatula discors,"Southwest Philadelphia, Philadelphia, PA, USA",2021-11-19
plate-374,sharp-shinned-hawk,plates/300-399/plate-374-sharp-shinned-hawk.jpg,Yes,inaturalist/sharp-shinned-hawk,mosaics/sharp-shinned-hawk.jpeg,Sharp-shinned Hawk,7,Accipiter striatus,"Northern Liberties, Philadelphia, PA 19123, USA",2022-01-22
plate-360,winter-wren,plates/300-399/plate-360-winter-wren.jpg,Yes,inaturalist/winter-wren,mosaics/winter-wren.jpeg,Winter Wren,11,Troglodytes hiemalis,"Eastwick, Philadelphia, PA, USA",2021-03-06
plate-381,snow-goose,plates/300-399/plate-381-snow-goose.jpg,Yes,inaturalist/snow-goose,mosaics/snow-goose.jpeg,Snow Goose,7,Anser caerulescens,"Lloyd Hall, Philadelphia, PA, US",2021-05-22
plate-385,bank-swallow,plates/300-399/plate-385-bank-swallow.jpg,Yes,inaturalist/bank-swallow,mosaics/bank-swallow.jpeg,Bank Swallow,6,Riparia riparia,"Knorr St, Philadelphia, PA, US",2021-09-26
plate-343,ruddy-duck,plates/300-399/plate-343-ruddy-duck.jpg,Yes,inaturalist/ruddy-duck,mosaics/ruddy-duck.jpeg,Ruddy Duck,38,Oxyura jamaicensis,"Penn Treaty Park, Philadelphia, PA, US",2022-02-11
plate-399,black-throated-green-warbler,plates/300-399/plate-399-black-throated-green-warbler.jpg,Yes,inaturalist/black-throated-green-warbler,mosaics/black-throated-green-warbler.jpeg,Black-throated Green Warbler,13,Setophaga virens,"12th St & Berks St, Philadelphia, PA 19122, USA",2021-09-30
plate-337,american-bittern,plates/300-399/plate-337-american-bittern.jpg,Yes,inaturalist/american-bittern,mosaics/american-bittern.jpeg,American Bittern,6,Botaurus lentiginosus,"Eastwick, Philadelphia, PA, USA",2018-04-21
plate-383,long-eared-owl,plates/300-399/plate-383-long-eared-owl.jpg,Yes,inaturalist/long-eared-owl,mosaics/long-eared-owl.jpeg,Long-eared Owl,1,Asio otus,United States,2014-02-08
plate-373,evening-grosbeak,plates/300-399/plate-373-evening-grosbeak.jpg,Yes,inaturalist/evening-grosbeak,mosaics/evening-grosbeak.jpeg,Evening Grosbeak,1,Coccothraustes vespertinus,"Philadelphia, Pennsylvania, United States",2021-05-08
plate-414,golden-winged-warbler,plates/400-435/plate-414-golden-winged-warbler.jpg,Yes,inaturalist/golden-winged-warbler,mosaics/golden-winged-warbler.jpeg,Golden-winged Warbler,1,Vermivora chrysoptera,Carptenter's Woods,2017-09-04
plate-401,red-breasted-merganser,plates/400-435/plate-401-red-breasted-merganser.jpg,Yes,inaturalist/red-breasted-merganser,mosaics/red-breasted-merganser.jpeg,Red-breasted Merganser,3,Mergus serrator,"9177 Lindbergh Blvd, Philadelphia, PA 19153, USA",2018-01-27
plate-416,hairy-woodpecker,plates/400-435/plate-416-hairy-woodpecker.jpg,Yes,inaturalist/hairy-woodpecker,mosaics/hairy-woodpecker.jpeg,Hairy Woodpecker,22,Dryobates villosus,"John Heinz National Wildlife Refuge At Tinicum, Philadelphia, Pennsylvania, United States",2021-10-10
plate-405,semipalmated-sandpiper,plates/400-435/plate-405-semipalmated-sandpiper.jpg,Yes,inaturalist/semipalmated-sandpiper,mosaics/semipalmated-sandpiper.jpeg,Semipalmated Sandpiper,5,Calidris pusilla,"Philadelphia, Pennsylvania, United States",2021-09-06
plate-415,brown-creeper,plates/400-435/plate-415-brown-creeper.jpg,Yes,inaturalist/brown-creeper,mosaics/brown-creeper.jpeg,Brown Creeper,25,Certhia americana,"Rosemary Ln, Philadelphia, PA, US",2022-01-01
